club_id,club_slug,club_name,logo_url,country_name,season_id,competition_id,competition_slug,competition_name,club_division,source_url,_last_modified_at
290,aj-auxerre,AJ Auxerre (290),https://tmssl.akamaized.net//images/wappen/head/290.png?lm=1635851977,France,2009,FR1,ligue-1,Ligue 1,Ligue 1,https://www.transfermarkt.com/aj-auxerre/startseite/verein/290/saison_id/2009,2025-09-13 10:16:59
29,fc-everton,Everton FC (29),https://tmssl.akamaized.net//images/wappen/head/29.png?lm=1445949846,England,2017,GB1,premier-league,Premier League,Premier League,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2017,2025-09-13 09:22:46
3,1-fc-koln,1.FC Köln (3),https://tmssl.akamaized.net//images/wappen/head/3.png?lm=1656580823,Germany,2005,L1,bundesliga,Bundesliga,Bundesliga,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2005,2025-09-13 09:58:43
31,fc-liverpool,Liverpool FC (31),https://tmssl.akamaized.net//images/wappen/head/31.png?lm=1727873452,England,2004,GB1,premier-league,Premier League,Premier League,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2004,2025-09-13 09:22:45
331,ca-osasuna,CA Osasuna (331),https://tmssl.akamaized.net//images/wappen/head/331.png?lm=1686070937,Spain,2024,ES1,laliga,LaLiga,LaLiga,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2024,2025-09-13 09:14:09
3368,ud-levante,Levante UD (3368),https://tmssl.akamaized.net//images/wappen/head/3368.png?lm=1408655062,Spain,2000,ES1,laliga,LaLiga,LaLiga,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2000,2025-09-13 09:14:08
347,fc-metz,FC Metz (347),https://tmssl.akamaized.net//images/wappen/head/347.png?lm=1625391843,France,2003,FR1,ligue-1,Ligue 1,Ligue 1,https://www.transfermarkt.com/fc-metz/startseite/verein/347/saison_id/2003,2025-09-13 09:08:47
35,fc-st-pauli,FC St. Pauli (35),https://tmssl.akamaized.net//images/wappen/head/35.png?lm=1521036360,Germany,2014,L1,bundesliga,Bundesliga,Bundesliga,https://www.transfermarkt.com/fc-st-pauli/startseite/verein/35/saison_id/2014,2025-09-13 09:59:56
367,rayo-vallecano,Rayo Vallecano (367),https://tmssl.akamaized.net//images/wappen/head/367.png?lm=1653488445,Spain,2024,ES1,laliga,LaLiga,LaLiga,https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367/saison_id/2024,2025-09-13 09:14:08
368,fc-sevilla,Sevilla FC (368),https://tmssl.akamaized.net//images/wappen/head/368.png?lm=1730896593,Spain,2015,ES1,laliga,LaLiga,LaLiga,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2015,2025-09-13 09:14:08
3709,fc-getafe,Getafe CF (3709),https://tmssl.akamaized.net//images/wappen/head/3709.png?lm=1408655116,Spain,2004,ES1,laliga,LaLiga,LaLiga,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2004,2025-09-13 09:14:08
379,west-ham-united,West Ham United (379),https://tmssl.akamaized.net//images/wappen/head/379.png?lm=1464675260,England,2022,GB1,premier-league,Premier League,Premier League,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2022,2025-09-13 09:22:41
39,1-fsv-mainz-05,1.FSV Mainz 05 (39),https://tmssl.akamaized.net//images/wappen/head/39.png?lm=1564748880,Germany,2020,L1,bundesliga,Bundesliga,Bundesliga,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2020,2025-09-13 09:58:04
3911,stade-brest-29,Stade Brestois 29 (3911),https://tmssl.akamaized.net//images/wappen/head/3911.png?lm=1408780312,France,2010,FR1,ligue-1,Ligue 1,Ligue 1,https://www.transfermarkt.com/stade-brest-29/startseite/verein/3911/saison_id/2010,2025-09-13 10:18:32
398,lazio-rom,SS Lazio (398),https://tmssl.akamaized.net//images/wappen/head/398.png?lm=1601537785,Italy,2016,IT1,serie-a,Serie A,Serie A,https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2016,2025-09-13 09:04:09
399,leeds-united,Leeds United (399),https://tmssl.akamaized.net//images/wappen/head/399.png?lm=1645652224,England,2007,GB1,premier-league,Premier League,Premier League,https://www.transfermarkt.com/leeds-united/startseite/verein/399/saison_id/2007,2025-09-13 10:26:31
405,aston-villa,Aston Villa (405),https://tmssl.akamaized.net//images/wappen/head/405.png?lm=1717155982,England,2010,GB1,premier-league,Premier League,Premier League,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2010,2025-09-13 09:22:46
410,udinese-calcio,Udinese Calcio (410),https://tmssl.akamaized.net//images/wappen/head/410.png?lm=1688982584,Italy,2022,IT1,serie-a,Serie A,Serie A,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2022,2025-09-13 09:04:09
41,hamburger-sv,Hamburger SV (41),https://tmssl.akamaized.net//images/wappen/head/41.png?lm=1597319274,Germany,2005,L1,bundesliga,Bundesliga,Bundesliga,https://www.transfermarkt.com/hamburger-sv/startseite/verein/41/saison_id/2005,2025-09-13 09:41:54
415,fc-toulouse,FC Toulouse (415),https://tmssl.akamaized.net//images/wappen/head/415.png?lm=1740065124,France,2009,FR1,ligue-1,Ligue 1,Ligue 1,https://www.transfermarkt.com/fc-toulouse/startseite/verein/415/saison_id/2009,2025-09-13 09:08:47
416,fc-turin,Torino FC (416),https://tmssl.akamaized.net//images/wappen/head/416.png?lm=1438548174,Italy,2013,IT1,serie-a,Serie A,Serie A,https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2013,2025-09-13 09:04:08
4172,ac-pisa-1909,Pisa Sporting Club (4172),https://tmssl.akamaized.net//images/wappen/head/4172.png?lm=1693294828,Italy,2019,IT1,serie-a,Serie A,Serie A,https://www.transfermarkt.com/ac-pisa-1909/startseite/verein/4172/saison_id/2019,2025-09-13 10:29:56
417,ogc-nizza,OGC Nice (417),https://tmssl.akamaized.net//images/wappen/head/417.png?lm=1408779490,France,2000,FR1,ligue-1,Ligue 1,Ligue 1,https://www.transfermarkt.com/ogc-nizza/startseite/verein/417/saison_id/2000,2025-09-13 10:25:39
418,real-madrid,Real Madrid (418),https://tmssl.akamaized.net//images/wappen/head/418.png?lm=1729684474,Spain,2009,ES1,laliga,LaLiga,LaLiga,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2009,2025-09-13 09:08:50
430,ac-florenz,ACF Fiorentina (430),https://tmssl.akamaized.net//images/wappen/head/430.png?lm=1722844765,Italy,2023,IT1,serie-a,Serie A,Serie A,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2023,2025-09-13 09:04:10
46,inter-mailand,Inter Milan (46),https://tmssl.akamaized.net//images/wappen/head/46.png?lm=1618900989,Italy,2023,IT1,serie-a,Serie A,Serie A,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2023,2025-09-13 09:04:10
5,ac-mailand,AC Milan (5),https://tmssl.akamaized.net//images/wappen/head/5.png?lm=1605166627,Italy,2023,IT1,serie-a,Serie A,Serie A,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2023,2025-09-13 09:04:09
506,juventus-turin,Juventus FC (506),https://tmssl.akamaized.net//images/wappen/head/506.png?lm=1626441487,Italy,2002,IT1,serie-a,Serie A,Serie A,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2002,2025-09-13 09:04:24
533,tsg-1899-hoffenheim,TSG 1899 Hoffenheim (533),https://tmssl.akamaized.net//images/wappen/head/533.png?lm=1675591766,Germany,2011,L1,bundesliga,Bundesliga,Bundesliga,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2011,2025-09-13 09:58:04
543,wolverhampton-wanderers,Wolverhampton Wanderers (543),https://tmssl.akamaized.net//images/wappen/head/543.png?lm=1467496784,England,2001,GB1,premier-league,Premier League,Premier League,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2001,2025-09-13 10:14:14
60,sc-freiburg,SC Freiburg (60),https://tmssl.akamaized.net//images/wappen/head/60.png?lm=1517249279,Germany,2023,L1,bundesliga,Bundesliga,Bundesliga,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2023,2025-09-13 09:58:04
583,fc-paris-saint-germain,Paris Saint-Germain (583),https://tmssl.akamaized.net//images/wappen/head/583.png?lm=1728026461,France,2019,FR1,ligue-1,Ligue 1,Ligue 1,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2019,2025-09-13 10:24:45
6195,ssc-neapel,SSC Napoli (6195),https://tmssl.akamaized.net//images/wappen/head/6195.png?lm=1753167643,Italy,2022,IT1,serie-a,Serie A,Serie A,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2022,2025-09-13 09:04:09
